City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
367,Kruisfontein,-34.0033,24.7314,60.89,69,68,3.76,ZA,broken clouds
368,Pitimbu,-7.4706,-34.8086,82.99,65,13,10.49,BR,few clouds
369,Northam,51.0333,-4.2167,60.62,81,98,6.33,GB,overcast clouds
370,Lahaina,20.8783,-156.6825,82.4,80,21,6.26,US,few clouds
371,La Paz,-16.5,-68.15,66.18,12,75,11.5,BO,broken clouds
372,Culasi,11.4272,122.056,76.21,82,98,4.41,PH,light rain
373,Floro,61.5996,5.0328,57.16,72,75,14.97,NO,broken clouds
374,Tahe,52.3333,124.7333,37.35,94,2,1.19,CN,clear sky
375,Imbituba,-28.24,-48.6703,66.02,73,59,5.99,BR,broken clouds
376,Namuac,18.6109,121.1657,77.58,77,100,1.54,PH,overcast clouds
377,Qasigiannguit,68.8193,-51.1922,35.85,72,38,3.8,GL,scattered clouds
378,Koslan,63.4564,48.8989,40.12,97,38,5.17,RU,scattered clouds
379,Doha,25.2867,51.5333,93.51,65,0,8.05,QA,clear sky
380,Madimba,-10.4,40.3333,72.54,84,36,7.34,TZ,scattered clouds
381,Port Macquarie,-31.4333,152.9167,64.29,82,75,17.27,AU,light rain
382,Frystak,49.2852,17.6835,44.94,85,37,3.33,CZ,scattered clouds
383,Nanov,44.0,25.3,55.62,61,82,3.15,RO,broken clouds
384,Portland,45.5234,-122.6762,71.53,59,100,5.75,US,overcast clouds
385,Coquimbo,-29.9533,-71.3436,65.93,39,0,13.8,CL,clear sky
386,Aitape,-3.1374,142.3475,75.81,88,82,4.43,PG,broken clouds
387,Suntar,62.1444,117.6319,29.41,84,96,6.06,RU,overcast clouds
388,Naze,28.3667,129.4833,75.87,86,84,15.35,JP,light rain
389,Iqaluit,63.7506,-68.5145,38.93,93,100,0.0,CA,overcast clouds
390,Viedma,-40.8135,-62.9967,47.52,74,52,14.54,AR,moderate rain
391,Flinders,-34.5833,150.8552,62.19,90,100,5.99,AU,light rain
392,Pemangkat,1.1667,108.9667,77.68,82,88,3.38,ID,overcast clouds
393,Mbanza-Ngungu,-5.25,14.8667,79.2,54,100,7.81,CD,overcast clouds
394,Yunhe,34.0833,119.7167,58.3,77,13,6.4,CN,few clouds
395,Sorong,-0.8833,131.25,79.02,82,100,4.09,ID,moderate rain
396,Chatan,26.3094,127.7703,79.38,83,40,5.75,JP,scattered clouds
397,Myitkyina,25.3833,97.4,74.07,94,100,0.72,MM,overcast clouds
398,Koungou,-12.7336,45.2042,71.31,83,0,0.0,YT,clear sky
399,Kumylzhenskaya,49.8809,42.5898,60.98,75,100,4.45,RU,overcast clouds
400,Mandalgovi,45.7625,106.2708,36.66,44,3,24.83,MN,clear sky
401,Sohag,26.557,31.6948,86.04,26,0,9.53,EG,clear sky
402,Marostica,45.7468,11.6579,63.72,53,40,1.43,IT,scattered clouds
403,Muros,42.7762,-9.0603,76.15,64,13,2.33,ES,few clouds
404,Nador,35.174,-2.9287,75.45,83,75,4.61,MA,broken clouds
405,Sulangan,11.1373,123.7228,83.68,73,96,8.52,PH,overcast clouds
406,Shimoda,34.6667,138.95,64.11,73,99,22.44,JP,overcast clouds
407,Hovd,48.0056,91.6419,49.8,47,0,1.23,MN,clear sky
408,Aden,12.7794,45.0367,89.91,65,45,5.28,YE,scattered clouds
409,Ust-Omchug,61.15,149.6333,21.81,86,31,4.45,RU,scattered clouds
410,Mount Gambier,-37.8333,140.7667,51.71,100,100,6.91,AU,overcast clouds
411,Navolato,24.7672,-107.6944,90.64,75,57,4.54,MX,broken clouds
412,Vanimo,-2.6741,141.3028,76.23,89,87,4.23,PG,overcast clouds
413,Krasnopavlivka,49.1372,36.3272,51.28,64,11,6.2,UA,few clouds
414,Kloulklubed,7.0419,134.2556,83.08,71,58,0.81,PW,broken clouds
415,El Dorado,38.7666,-120.5177,59.52,84,100,1.5,US,overcast clouds
416,Sukagawa,37.2833,140.3833,49.86,99,54,2.98,JP,broken clouds
417,Tanout,14.9709,8.8879,92.89,26,100,6.58,NE,overcast clouds
418,Portree,57.4129,-6.1942,58.51,91,100,15.84,GB,overcast clouds
419,Guacara,10.2261,-67.877,89.46,51,100,4.54,VE,overcast clouds
420,Rundu,-17.9333,19.7667,71.76,12,4,7.09,NA,clear sky
421,Komsomolskiy,40.4272,71.7189,74.12,40,53,4.61,UZ,broken clouds
422,Mayna,54.1135,47.6231,55.58,94,100,3.91,RU,overcast clouds
423,Sur,22.5667,59.5289,82.4,72,2,15.28,OM,clear sky
424,Puerto Penasco,31.3167,-113.5333,86.92,78,82,15.99,MX,broken clouds
425,Santa Cruz De La Palma,28.6835,-17.7642,77.14,73,40,8.05,ES,scattered clouds
426,Sitka,57.0531,-135.33,57.09,88,75,0.0,US,broken clouds
427,Molln,53.6333,10.6833,59.29,71,20,3.44,DE,few clouds
428,Cavan,53.9908,-7.3606,60.08,82,100,9.19,IE,overcast clouds
429,Vilyuysk,63.7553,121.6247,25.21,85,72,7.65,RU,broken clouds
430,Batemans Bay,-35.7167,150.1833,61.11,95,100,2.19,AU,overcast clouds
431,Coruripe,-10.1256,-36.1756,78.96,69,18,11.41,BR,few clouds
432,Pangkalanbuun,-2.6833,111.6167,74.89,95,98,1.23,ID,overcast clouds
433,Nabire,-3.3667,135.4833,74.28,91,100,3.29,ID,overcast clouds
434,Warrington,53.3925,-2.5802,63.99,72,40,5.75,GB,scattered clouds
435,Darayya,33.459,36.2374,68.76,57,0,12.71,SY,clear sky
436,Tereze,43.9361,42.4434,56.05,98,100,3.87,RU,light rain
437,Berdigestyakh,62.0989,126.6992,26.83,90,72,7.61,RU,broken clouds
438,Panzhihua,26.5851,101.7128,69.48,93,100,1.63,CN,overcast clouds
439,Wapi Pathum,15.8452,103.3768,79.32,88,88,1.57,TH,light rain
440,Temiscaming,46.7212,-79.0971,63.95,88,99,5.75,CA,overcast clouds
441,Stillwater,36.1156,-97.0584,98.87,37,20,13.8,US,few clouds
442,Ayorou,14.7308,0.9174,92.35,41,63,5.21,NE,broken clouds
443,Khasan,42.4308,130.6434,59.88,81,15,11.63,RU,few clouds
444,Davila,18.4726,120.5763,73.38,73,100,8.93,PH,overcast clouds
445,Solaro,44.8799,9.1732,58.96,87,69,4.27,IT,broken clouds
446,Prainha,-1.8,-53.48,97.79,30,58,4.63,BR,broken clouds
447,Los Llanos De Aridane,28.6585,-17.9182,73.15,86,40,8.05,ES,scattered clouds
448,Puerto Cabezas,14.0351,-83.3888,89.56,66,75,6.91,NI,broken clouds
449,Ranfurly,-45.1333,170.1,39.72,89,29,2.71,NZ,scattered clouds
450,Fukue,32.6881,128.8419,72.41,62,99,4.47,JP,overcast clouds
451,Katsuura,35.1333,140.3,69.08,70,100,21.34,JP,overcast clouds
452,Baracoa,20.3467,-74.4958,84.16,76,84,6.11,CU,broken clouds
453,Fort Nelson,58.8053,-122.7002,53.19,58,40,5.75,CA,scattered clouds
454,Dalianwan,39.0286,121.695,68.04,68,0,11.18,CN,clear sky
